Address (Hex);Register Name;Default (Hex);R/W;Description
00;GAIN;00;RW;"AGC Gain Control LSBs Bit[7:0]:    Gain setting
•      Range: 1x to 32x
Gain = (Bit[7]+1) x (Bit[6]+1) x  (Bit[5]+1) x (Bit[4]+1) x (1+Bit[3:0]/16)
Note: Set COM8[2] = 0 to disable AGC."
01-02;RSVD;XX;–;Reserved
03;COM1;"0F (UXGA)
0A (SVGA),
06 (CIF)";RW;"Common Control 1
Bit[7:6]:    Dummy frame control
00:  Reserved
01:  Allow 1 dummy frame
10:  Allow 3 dummy frames
11:  Allow 7 dummy frames Bit[5:4]:    Reserved
Bit[3:2]:    Vertical window end line control 2 LSBs (8 MSBs in VEND[7:0] (0x1A))
Bit[1:0]:    Vertical window start line control 2 LSBs (8 MSBs in VSTRT[7:0] (0x19))"
04;REG04;20;RW;"Register 04
Bit[7]:       Horizontal mirror Bit[6]:       Vertical flip Bit[4]:       VREF bit[0] Bit[3]:       HREF bit[0]
Bit[2]:       Reserved
Bit[1:0]:    AEC[1:0]
(AEC[15:10] is in register REG45[5:0] (0x45), AEC[9:2] is in register AEC[7:0] (0x10))"
05-07;RSVD;XX;–;Reserved
08;REG08;40;RW;Frame Exposure One-pin Control Pre-charge Row Number
09;COM2;00;RW;"Common Control 2 Bit[7:5]:    Reserved
Bit[4]:       Standby mode enable
0:    Normal mode
1:    Standby mode
Bit[3]:       Reserved
Bit[2]:       Pin PWDN/RESETB used as SLVS/SLHS Bit[1:0]:    Output drive select
00:  1x capability
01:  3x capability
10:  2x capability
11:  4x capability"
0A;PIDH;26;R;Product ID Number MSB (Read only)
0B;PIDL;41;R;Product ID Number LSB (Read only)
0C;COM3;38;RW;"Common Control 3 Bit[7:3]:    Reserved
Bit[2]:       Set banding manually
0:    60 Hz
1:    50 Hz
Bit[1]:       Auto set banding Bit[0]:       Snapshot option
0:    Enable live video output after snapshot sequence 1:    Output single frame only"
0D-0F;RSVD;XX;–;Reserved
10;AEC;33;RW;"Automatic Exposure Control 8 bits for AEC[9:2] (AEC[15:10] is in register REG45[5:0] (0x45), AEC[1:0] is in register REG04[1:0] (0x04))
AEC[15:0]: Exposure time
TEX = tLINE x AEC[15:0]
Note: The maximum exposure time is 1 frame period even if TEX is longer than 1 frame period."
11;CLKRC;00;RW;"Clock Rate Control
Bit[7]:       Internal frequency doublers ON/OFF selection 0:    OFF
1:    ON
Bit[6]:       Reserved Bit[5:0]:    Clock divider
CLK = XVCLK/(decimal value of CLKRC[5:0] + 1)"
12;COM7;00;RW;"Common Control 7 Bit[7]:       SRST
1:    Initiates system reset. All registers are set to factory default values after which the chip resumes normal operation
Bit[6:4]:    Resolution selection
000:   UXGA (full size) mode 010:   CIF mode
100:   SVGA mode
Bit[3]:       Reserved Bit[2]:       Zoom mode
Bit[1]:       Color bar test pattern 0:    OFF
1:    ON
Bit[0]:       Reserved"
13;COM8;C7;RW;"Common Control 8 Bit[7:6]:    Reserved
Bit[5]:       Banding filter selection
0:    OFF
1:    ON, set minimum exposure time to 1/120s Bit[4:3]:    Reserved
Bit[2]:       AGC auto/manual control selection 0:    Manual
1:    Auto
Bit[1]:       Reserved
Bit[0]:       Exposure control
0:    Manual
1:    Auto"
14;COM9;50;RW;"Common Control 9
Bit[7:5]:    AGC gain ceiling, GH[2:0] 000:  2x
001:  4x
010:  8x
011:  16x
100:  32x
101:  64x
11x:  128x
Bit[4:0]:    Reserved"
15;COM10;00;RW;"Common Control 10 (if Bypass DSP is selected) Bit[7:6]:    Reserved
Bit[5]:       PCLK output selection
0:    PCLK always output
1:    PCLK output qualified by HREF Bit[4]:       PCLK edge selection
0:    Data is updated at the falling edge of PCLK (user can latch data at the next rising edge of PCLK)
1:    Data is updated at the rising edge of PCLK (user can latch data at the next falling edge of PCLK)
Bit[3]:       HREF output polarity
0:    Output positive HREF
1:    Output negative HREF, HREF negative for data valid
Bit[2]:       Reserved Bit[1]:       VSYNC polarity
0:    Positive
1:    Negative
Bit[0]:       Reserved"
16;RSVD;XX;–;Reserved
17;HREFST;11;RW;"Horizontal Window Start MSB 8 bits (3 LSBs in REG32[2:0] (0x32))
Bit[10:0]:  Selects the start of the horizontal window, each LSB represents two pixels"
T;HREFEND;"75 (UXGA),
43 (SVGA, CIF)";RW;"Horizontal Window End MSB 8 bits (3 LSBs in REG32[5:3] (0x32))
Bit[10:0]:  Selects the end of the horizontal window, each LSB represents two pixels"
